image_name,comment_number,comment
1243756.jpg,4,Man sitting in a chair wearing a hat and scarf .
1254659.jpg,4,Two people working in a resaurant .
1283466.jpg,4,A house is being demolished .
1317156.jpg,4,An ice cream truck is driving down the street .
134206.jpg,4,game is playing in the stadium
1369162.jpg,4,Four men do repair work on a roof .
1440465.jpg,4,A group of men is drinking at a table .
148284.jpg,4,A man in a yellow shirt and black apron delivering newspapers .
1624481.jpg,4,4 guys in Army fatigue walking down street
178045.jpg,4,Mariachi dancers dressed in white dresses twirling for a crowd .
1920465.jpg,4,A man with glasses reading a book .
1989609.jpg,4,A man with a mustache works on a broken escalator .
205842.jpg,4,A child pushing their younger sibling in a stroller .
2069887.jpg,4,A small tub sits in front of the statue .
2148982.jpg,4,Young people are in the kitchen laughing .
2192573.jpg,4,A young man and woman are laughing and drinking a beer .
2209317.jpg,4,A man teaches a small class .
2209751.jpg,4,Interior of yellow car is filmed .
2285664.jpg,4,The juggler is entertaining the young boys on the sidewalk .
256063.jpg,4,Farmer 's selling preserves out of a van .
2689611.jpg,4,Young asian child taking a nap .
2760167.jpg,4,Nine men wearing tuxedos sing .
2784746.jpg,4,a lady eating from a plate next to a Sprite bottle
2806447.jpg,4,Two indian men wearing white are playing instruments on a padded mat .
2868798.jpg,4,College girls hanging out in a shop .
3001353.jpg,4,A lot of people outside the gourmet curry hut .
3012229.jpg,4,A family is sitting outside a store .
301246.jpg,4,Workers with ropes in the street .
3025093.jpg,4,A man in a neon-green vest riding a neon-green motorcycle .
3035057.jpg,4,A white British Airways plane on the airstrip .
3043766.jpg,4,A man hanging out of the window of an airplane .
3160699.jpg,4,A man in a red jacket standing in a doorway .
3219606.jpg,4,The youth choir is performing .
3367399.jpg,4,A man dressed in tan pumps gas .
3494059.jpg,4,Hospital staff checking on a patient .
3537322.jpg,4,Many people are sitting around computers .
353913.jpg,4,A man in black sleeps in front of a door .
3637013.jpg,4,Two people stand by the water .
3662865.jpg,4,Two children in winter coats shoveling snow outside .
3680138.jpg,4,A young girl in her early twenties is laughing .
36979.jpg,4,Six white males playing poker .
371897.jpg,4,A man in jeans and tee walking around
371902.jpg,4,Three adults enjoying food around a grill .
371903.jpg,4,two men sitting in chairs outside near food reading .
3734864.jpg,4,A crane is hoisting someone up next to a building .
3753939.jpg,4,A man in a dress shirt wiping the window of an American Airlines airplane .
390369.jpg,4,A person is standing in a costume on a street .
3996401.jpg,4,Ladies dressed in nice attire talking .
4135695.jpg,4,A blond man in a white shirt is smoking .
4162702.jpg,4,Two women walking through the field
4183120.jpg,4,Many people are in the gym .
4199555.jpg,4,A man sits behind a wheelbarrow full of vegetables .
4280272.jpg,4,Two kids staring at something .
4307968.jpg,4,A gathering outside a school .
4376178.jpg,4,Man in blue boat holding a net .
4378823.jpg,4,A woman carries a toddler in a costume while talking on her cellphone .
438106.jpg,4,A group of little kids paintings .
4386588.jpg,4,People are knitting next to a Peace Knits sign .
4413714.jpg,4,Children in white shirts are at school .
4414061.jpg,4,A young man and a woman are sleeping in a van .
4429660.jpg,4,Two lovers sitting on a park bench
4489731.jpg,4,People at a park having a picnic .
4515460.jpg,4,A man working as a flagger .
4576671.jpg,4,a woman wearing black pants kick-boxing in a dojo
4749855.jpg,4,A man sleeping on the couch .
4906946.jpg,4,two men work outdoors with equipment
490870.jpg,4,Two children in bed sleeping .
4926723.jpg,4,A man writing while he has a hot cup of coffee .
4985704.jpg,4,"A man on a high unicycle , performs for a crowd in the street ."
5104045.jpg,4,A man in a suit takes a nap .
5217116.jpg,4,A man playing guitar with a baby in the corner .
5230968.jpg,4,A boy in a gray shirt is skateboarding .
5287405.jpg,4,A man feeding a baby in a highchair .
5333578.jpg,4,A young man mixes a can of paint .
5377361.jpg,4,A boy in a gray sweatsuit unpacking a DVD game .
5400154.jpg,4,Fisherman on boat out on sea .
5402085.jpg,4,Two people are working outside .
5444724.jpg,4,A pilot exits a stationary airplane .
5521996.jpg,4,The firemen are sitting on horses .
5526034.jpg,4,Men standing near a plane .
5558592.jpg,4,Three men in cowboy hats at a rodeo .
5566972.jpg,4,A wheel loader picking up some dirt .
5570219.jpg,4,A photographer sets up to take pictures .
5570254.jpg,4,They are filming a weather warning .
5624522.jpg,4,Man working on scaffolding at construction job site .
5629300.jpg,4,A boy laughs as he is hit with a beach ball .
5648321.jpg,4,A man is outside with his dog shoveling the snow off of his steps .
5722658.jpg,4,A young boy in a red uniform learns to play ice hockey .
5729814.jpg,4,A man stands inside of a small plane .
574181.jpg,4,Two men are sweeping in a white room .
65567.jpg,4,A wedding party walks out of a building .
667626.jpg,4,A girl is stretched out in shallow water
675153.jpg,4,Two martial artists practice in a vacant room .
726414.jpg,4,Here is a stuntman hanging from a helicopter .
807129.jpg,4,Man playing a tune on his flute .
81641.jpg,4,A man doing gymnastic stunts
854749.jpg,4,A man shopping at a department store next to a lot of candy .
881336.jpg,4,Two women playing a drinking game in the kitchen .
960092.jpg,4,Adults and children at a fair .
984950.jpg,4,A group of men sit in a circle on a rooftop .
